Element, pos
0, 1006681088
1, 1073757184
2, 1073790976
3, 1107313152
4, 3288384000
5, 1140868096
6, 3305129216
7, 1174422784
8, 3321906688
9, 1191233280
10, 1207977728
11, 1208010752
12, 1087192152
13, 1020085350
14, 1147551875
15, 1087192269
16, 1012417670
17, 1147551949
18, 1100627149
19, 1020085099
20, 1132478669
21, 1087192068
22, 1000817664
23, 1140867482
24, 1100627149
25, 1006912363
26, 1140867277
27, 1087192068
28, 1012417536
29, 1147551949
30, 1100626855
31, 1012417536
32, 1147551949
33, 1100626976
34, 1000817766
35, 1140867482
36, 1087192269
37, 1020085382
38, 1150632346
39, 1100626976
40, 1012417638
41, 1147551949
42, 1087192269
43, 1008747654
44, 1147552154
45, 1100627149
46, 1000817515
47, 1140867482
48, 1109998797
49, 1000817664
50, 1140867482
51, 1100626976
52, 1020085350
53, 1147552255
54, 1109998797
55, 1000817664
56, 1140867482
57, 1107246285
58, 1008747622
59, 1147552154
60, 1100627149
61, 1020085397
62, 1147552255
63, 1046888038
64, 1046889395
65, 1140866611
66, 1046888009
67, 1046889472
68, 1140866611
69, 1046888038
70, 1044988939
71, 1140866662
72, 1073757798
73, 1046889389
74, 1135820390
75, 1046888009
76, 1039942656
77, 1140867072
78, 1073757798
79, 1044988845
80, 1140866662
81, 1046888038
82, 1046889483
83, 1143947264
84, 1073757692
85, 1044988928
86, 1140866662
87, 1046888038
88, 1039942667
89, 1140867072
90, 1073757692
91, 1020085248
92, 1140867150
93, 1087192269
94, 1039942528
95, 1140867072
96, 1087192269
97, 1046889344
98, 1135427584
99, 1073757798
100, 1020085165
101, 1132478669
102, 1087192678
103, 1046889268
104, 1143947264
105, 1078869197
106, 1039942656
107, 1140867072
108, 1073757798
109, 1046889519
110, 1147551762
111, 1078869197
112, 1046889472
113, 1147551762
114, 1082342605
115, 1020085350
116, 1140867150
117, 1082342605
118, 1046889574
119, 1147551762
120, 1087192678
121, 1020085432
122, 1149649101
123, 1082342605
124, 1046889574
125, 1152925901
126, 1087192678
127, 1020085044
128, 1132478669
129, 1100627558
130, 1046889268
131, 1127498138
132, 1087192269
133, 1020085120
134, 1131102618
135, 1087192678
136, 1046889656
137, 1153450394
138, 1087192269
139, 1046889606
140, 1153450394
141, 1100627149
142, 1020085397
143, 1149649101
144, 1100627558
145, 1020085044
146, 1131102618
147, 1109998797
148, 1046889472
149, 1140867683
150, 1100627558
151, 1020085044
152, 1140867625
153, 1113800294
154, 1020085248
155, 1140867625
156, 1112882790
157, 1020085350
158, 1140867625
159, 1107246285
160, 1046889574
161, 1147552341
162, 1112882790
163, 1020085350
164, 1147552255
165, 1100627149
166, 1046889621
167, 1153450394
168, 1112882790
169, 1020085350
170, 1150632346
171, 1020084224
172, 1073758908
173, 1127431139
174, 1020083964
175, 1073759027
176, 1127431139
177, 999440384
178, 1053836288
179, 1140866253
180, 1020083964
181, 1073759027
182, 1127431139
183, 1020083920
184, 1073759232
185, 1140865938
186, 1020084224
187, 1053836365
188, 1140866253
189, 1046888448
190, 1073758839
191, 1119632589
192, 1020083964
193, 1047544627
194, 1127431782
195, 1046888448
196, 1056719479
197, 1127431373
198, 1046888038
199, 1053836211
200, 1140866253
201, 1043545702
202, 1046889472
203, 1135820390
204, 1046888048
205, 1053836083
206, 1140866253
207, 1046888048
208, 1056719667
209, 1127431373
210, 1020083920
211, 1046889472
212, 1140866611
213, 1046888440
214, 1046889574
215, 1141587558
216, 1020083920
217, 1073234944
218, 1147551334
219, 1043545702
220, 1053836288
221, 1140866253
222, 1046233088
223, 1073235046
224, 1147551334
225, 1020083920
226, 1073759232
227, 1145912525
228, 1046233088
229, 1073759334
230, 1147551324
231, 1046888448
232, 1073235048
233, 1147551334
234, 1073758208
235, 1073758946
236, 1115111014
237, 1046888048
238, 1057047347
239, 1127432192
240, 1073758208
241, 1047544546
242, 1127431782
243, 1046888048
244, 1046889267
245, 1135427584
246, 1073757953
247, 1046889267
248, 1135820390
249, 1073757798
250, 1047544749
251, 1127431782
252, 1048657920
253, 1046889574
254, 1141587558
255, 1046888440
256, 1073759334
257, 1147551361
258, 1073758208
259, 1046889557
260, 1141587558
261, 1073758208
262, 1046889557
263, 1143947264
264, 1046888038
265, 1073234955
266, 1147551334
267, 1046888448
268, 1073759336
269, 1147551361
270, 1073758208
271, 1057047266
272, 1127432192
273, 1081688064
274, 1057047347
275, 1127432192
276, 1087193088
277, 1073759102
278, 1127432313
279, 1073757953
280, 1046889267
281, 1135427584
282, 1087193088
283, 1046889342
284, 1135427584
285, 1087192678
286, 1073759028
287, 1132347597
288, 1073758208
289, 1046889557
290, 1147551762
291, 1073757798
292, 1073759279
293, 1147551853
294, 1074937446
295, 1073759334
296, 1146437632
297, 1074937446
298, 1073759334
299, 1147551853
300, 1087193088
301, 1046889591
302, 1152925901
303, 1074937446
304, 1073759334
305, 1148666061
306, 1087193088
307, 1046889342
308, 1127497933
309, 1100627968
310, 1073759136
311, 1134576026
312, 1087192678
313, 1046889268
314, 1127498138
315, 1087193088
316, 1073759351
317, 1148535194
318, 1087192678
319, 1073759416
320, 1148535194
321, 1100627558
322, 1046889664
323, 1152925901
324, 1100627968
325, 1046889376
326, 1127498138
327, 1113800294
328, 1073759232
329, 1140867567
330, 1100627968
331, 1046889376
332, 1140867683
333, 1106198528
334, 1046889472
335, 1140867683
336, 1102659584
337, 1046889574
338, 1140867683
339, 1112882790
340, 1073759334
341, 1147552185
342, 1102659584
343, 1046889574
344, 1147552341
345, 1100627558
346, 1073759424
347, 1148535194
348, 1102659584
349, 1046889574
350, 1153450394
351, 1020084224
352, 1087193788
353, 1121205453
354, 1008484557
355, 1073759027
356, 1127431139
357, 1020084224
358, 1087193788
359, 1127431196
360, 1008484557
361, 1087193907
362, 1140866003
363, 1004748800
364, 1073759027
365, 1127431139
366, 1003700429
367, 1073759232
368, 1140865938
369, 999440384
370, 1087194112
371, 1140866003
372, 1020084429
373, 1073759301
374, 1145912525
375, 999440384
376, 1087194112
377, 1145388237
378, 1020084429
379, 1073758932
380, 1119632589
381, 1046888653
382, 1087193733
383, 1116028518
384, 1020084224
385, 1073758908
386, 1115111014
387, 1046233088
388, 1087194214
389, 1147420262
390, 1046888470
391, 1073759334
392, 1147551324
393, 1020084224
394, 1087194189
395, 1147420262
396, 1020084224
397, 1087194189
398, 1145388237
399, 1046888653
400, 1073759332
401, 1147551324
402, 1046888470
403, 1073759334
404, 1147682406
405, 1046888653
406, 1073758853
407, 1115111014
408, 1073758413
409, 1087193876
410, 1125400576
411, 1046888448
412, 1073758839
413, 1122123776
414, 1046888470
415, 1073759334
416, 1146437632
417, 1048657920
418, 1075201126
419, 1147551334
420, 1046888653
421, 1073759332
422, 1146437632
423, 1046888653
424, 1087194212
425, 1143947264
426, 1073758208
427, 1075201109
428, 1147551334
429, 1048657920
430, 1073759334
431, 1147682406
432, 1073758413
433, 1073758996
434, 1122123776
435, 1081688064
436, 1087193907
437, 1127432225
438, 1073758413
439, 1073758996
440, 1127432313
441, 1087193191
442, 1073759232
443, 1127432313
444, 1087193088
445, 1080509310
446, 1140867277
447, 1079263437
448, 1073759232
449, 1127432313
450, 1079263437
451, 1087194112
452, 1127432225
453, 1081688064
454, 1087193907
455, 1140867156
456, 1087193191
457, 1076118528
458, 1147551949
459, 1079263437
460, 1076118528
461, 1147551949
462, 1073758208
463, 1087194197
464, 1140867156
465, 1073758208
466, 1087194197
467, 1143947264
468, 1073758208
469, 1076118613
470, 1147551949
471, 1080901632
472, 1073759334
473, 1147551853
474, 1087193124
475, 1073759334
476, 1148666061
477, 1100628044
478, 1080509440
479, 1140867277
480, 1087193088
481, 1073759102
482, 1134576026
483, 1100628044
484, 1073759232
485, 1132347597
486, 1087193191
487, 1078739968
488, 1140867482
489, 1087193124
490, 1076118630
491, 1147551949
492, 1100628044
493, 1075594240
494, 1147552154
495, 1087193124
496, 1075594342
497, 1147552154
498, 1100627968
499, 1073759349
500, 1148666061
501, 1087193124
502, 1073759334
503, 1148535194
504, 1100628044
505, 1073759232
506, 1134576026
507, 1106198528
508, 1075594240
509, 1147552154
510, 1100628044
511, 1073759232
512, 1140867567
513, 1102659584
514, 1075594342
515, 1147552154
516, 1106198528
517, 1075594240
518, 1147552154
519, 1102659584
520, 1073759334
521, 1148535194
522, 1008484557
523, 1087193907
524, 1121205453
525, 1020084534
526, 1087193907
527, 1140866003
528, 1008484557
529, 1094075187
530, 1127431373
531, 1020084572
532, 1087194112
533, 1140866003
534, 1020084534
535, 1087193907
536, 1140866003
537, 1020084572
538, 1087194112
539, 1145388237
540, 1046888834
541, 1094075187
542, 1127431373
543, 1020084429
544, 1087193812
545, 1116028518
546, 1046888834
547, 1087193907
548, 1121205453
549, 1020084534
550, 1099055923
551, 1127431782
552, 1020084572
553, 1096565760
554, 1140866253
555, 1046888834
556, 1100038963
557, 1140866662
558, 1020084572
559, 1100039168
560, 1140866662
561, 1046888653
562, 1087194212
563, 1145388237
564, 1020084572
565, 1087194112
566, 1147420262
567, 1073758446
